season,season_start_year,league,division,league_finish,position,name,nationality,age,minutes_(total),starting_appearances_(league),substitute_appearances_(league),starting_appearances_(total),substitute_appearances_(total),total_appearances,goals_(total),goals_(league),g/minutes_(total),g/appearances_(total),european_competition,tier,performance,round_of_tournament,homegrown_players,transfers_in,transfers_out,net_transfers,games_played_(total),goals_for_(total),goals_against_(total),goal_difference_(total),goals_per_game_(total),games_played_(league),goals_for_(league),goals_against_(league),goal_difference_(league),goals_per_game_(league),average_age,average_appearances,average_minutes
1995-1996,1995,Segunda División,2,15,FW,Jesús García Pitarch,Spain,31,2255,23,10,24,10,34,7,7,322.14285714285717,4.857142857142857,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1995-1996,1995,Segunda División,2,15,FW,David Chumillas,Spain,19,0,0,0,0,0,0,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,6,4,2.0,40,36,43,-7,0.9,38,32,39,-7,0.8421052631578947,25.6,17.79,1240.42
1996-1997,1996,Segunda División,2,10,GK,Luis Pascual,Spain,28,3150,35,0,35,0,35,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,GK,Francisco Sánchez Broto,Spain,25,810,3,0,9,0,9,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Pascual Donat,Spain,28,3097,33,0,37,0,37,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Óscar Valle,Spain,23,603,5,3,6,3,9,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Quique Medina,Spain,22,3027,29,2,34,2,36,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,José Serer,Spain,30,2940,28,1,33,1,34,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Pedro Fernández Cuesta,Spain,27,2174,20,7,24,7,31,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Rubem Rocha da Silva,Brazil,18,45,0,1,0,1,1,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Alberto Mártinez,Spain,21,113,0,2,1,2,3,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,DF,Rafa Navarro,Spain,24,540,5,3,7,3,10,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,José Vicente Simeón,Spain,22,641,5,5,7,5,12,2,1,320.5,6.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Carlos Arroyo,Spain,30,567,8,3,9,3,12,1,1,567.0,12.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Alexandre José de Oliveira,Brazil,19,980,6,17,7,20,27,5,1,196.0,5.4,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,José Vicente Soto,Spain,24,1726,13,20,15,23,38,1,1,1726.0,38.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Antonio Díaz,Spain,27,1478,17,2,19,2,21,2,2,739.0,10.5,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Javi Prats,Spain,20,2363,22,6,26,8,34,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Iván Parra,Spain,22,2457,25,1,27,1,28,1,1,2457.0,28.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Robert Fernández,Spain,34,3412,32,1,38,1,39,2,2,1706.0,19.5,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Javi Sanchis,Spain,24,3228,32,3,36,4,40,9,9,358.6666666666667,4.444444444444445,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,David Albelda,Spain,19,3283,33,1,37,2,39,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,MF,Fernando Almeida de Oliveira,Brazil,18,22,0,1,0,1,1,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,FW,Miguel Ángel Angulo,Spain,19,2756,30,2,33,4,37,10,9,275.6,3.7,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,FW,Francisco Salillas,Spain,30,3123,33,0,37,2,39,13,10,240.23076923076923,3.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,FW,David Chumillas,Spain,20,285,0,12,2,14,16,1,0,285.0,16.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,FW,Santi París,Spain,18,418,3,5,4,6,10,1,1,418.0,10.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1996-1997,1996,Segunda División,2,10,FW,Evando Spinassé Camillato,Brazil,19,112,1,3,1,3,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,14,9,5.0,44,48,55,-7,1.0909090909090908,38,38,52,-14,1.0,23.5,23.15,1667.31
1997-1998,1997,Segunda División,2,4,GK,Andrés Palop,Spain,24,3857,41,0,43,0,43,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,GK,Luis Pascual,Spain,29,284,3,1,3,1,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Andoni Lakabeg,Spain,28,686,8,3,8,3,11,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Pascual Donat,Spain,29,3023,36,1,38,1,39,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Aitor Arregui,Spain,26,3649,39,3,41,3,44,1,1,3649.0,44.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Quique Medina,Spain,23,3046,33,2,35,1,36,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,José Serer,Spain,31,2400,26,5,27,4,31,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Óscar Jornet,Spain,19,9,0,1,0,1,1,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Sergio Frías,Spain,21,221,0,3,1,4,5,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,DF,Fernández Cuesta,Spain,28,0,0,0,0,0,0,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Alberto Saavedra,Spain,26,3181,35,7,36,7,43,11,10,289.1818181818182,3.909090909090909,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Alexandre José de Oliveira,Brazil,20,126,0,5,1,6,7,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Ángel Luis,Spain,27,2442,21,14,24,13,37,1,1,2442.0,37.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Carlos Arroyo,Spain,31,1948,25,5,28,4,32,4,4,487.0,8.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Javi Sanchis,Spain,25,1283,8,22,10,24,34,1,1,1283.0,34.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Javi Prats,Spain,21,1265,14,7,14,7,21,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Antonio Díaz,Spain,28,3719,40,0,42,0,42,6,6,619.8333333333334,7.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Iván Parra,Spain,23,1080,7,16,8,17,25,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Edison Mafla,Colombia,26,15,0,1,0,1,1,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,Robert Fernández,Spain,35,3245,37,1,37,1,38,1,1,3245.0,38.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,MF,José Vicente Soto,Spain,25,391,4,3,4,3,7,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Iñaki Hurtado,Spain,25,2633,30,4,31,5,36,1,1,2633.0,36.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Goran Milojević,Serbia,33,369,4,0,5,1,6,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Nico Hernández,Uruguay,21,467,3,7,3,8,11,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Francisco Salillas,Spain,31,3286,38,1,39,2,41,17,17,193.2941176470588,2.411764705882353,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Ilshat Faizulin,Russia,24,754,8,14,9,14,23,1,1,754.0,23.0,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1997-1998,1997,Segunda División,2,4,FW,Thomas Christiansen,Denmark,24,1826,22,1,22,1,23,5,5,365.2,4.6,DNQ,DNQ,DNQ,,2,11,4,7.0,46,52,39,13,1.1304347826086956,42,51,38,13,1.2142857142857142,26.04,23.74,1674.26
1998-1999,1998,La Liga,1,18,GK,Andrés Palop,Spain,25,3770,37,0,42,0,42,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,GK,César Láinez,Spain,21,270,3,3,3,0,3,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,GK,Garikotiz Basauri,Spain,24,90,0,0,1,0,1,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,GK,Luis Pascual,Spain,30,0,0,0,0,0,0,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Pascual Donat,Spain,30,2692,29,4,31,4,35,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Imanol Alguacil,Spain,27,635,7,1,8,1,9,1,1,635.0,9.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Aitor Arregui,Spain,27,2652,30,2,31,2,33,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Sandu Iordache,Romania,20,189,1,0,3,0,3,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Óscar Téllez,Spain,23,2133,22,0,25,1,26,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,Quique Medina,Spain,24,248,0,1,3,1,4,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,DF,José Serer,Spain,32,851,6,2,10,2,12,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,Igor Tasevski,Serbia,26,3034,30,1,35,1,36,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,Alberto Saavedra,Spain,27,2429,24,11,25,13,38,4,3,607.25,9.5,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,Javi Prats,Spain,22,353,0,4,3,4,7,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,Zeljko Kalajdzic,Serbia,20,311,0,0,3,2,5,0,0,0.0,0.0,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,David Albelda,Spain,21,3550,37,0,40,1,41,2,2,1775.0,20.5,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
1998-1999,1998,La Liga,1,18,MF,Gerardo García,Spain,24,3355,33,3,37,4,41,2,2,1677.5,20.5,DNQ,DNQ,DNQ,,2,15,10,5.0,46,56,70,-14,1.2173913043478262,38,47,63,-16,1.236842105263158,25.93,21.69,1558.72
